index,PClass,Sex,Age,Survived
279,1st,female,31,1
280,1st,male,50,0
281,1st,female,50,1
282,1st,male,27,0
283,1st,female,20,1
284,1st,male,51,0
285,1st,male,,0
286,1st,male,21,1
287,1st,male,,1
288,1st,male,,0
289,1st,female,36,1
290,1st,female,,1
291,1st,female,,1
292,1st,female,,1
293,1st,female,,1
294,1st,female,,1
295,1st,female,,1
296,1st,female,,1
297,1st,female,,1
298,1st,female,,1
299,1st,female,,1
300,1st,male,,0
301,1st,female,,0
302,1st,female,,1
303,1st,male,,0
304,1st,female,,1
305,1st,male,,0
306,1st,male,,0
307,1st,male,40,0
308,1st,male,,0
309,1st,female,,1
310,1st,male,32,0
311,1st,female,,1
312,1st,female,,1
313,1st,male,,0
314,1st,female,,1
315,1st,female,,0
316,1st,female,,1
317,1st,male,33,0
318,1st,male,,0
319,1st,female,,1
320,1st,female,,0
321,1st,female,,0
322,1st,female,,1
323,2nd,male,30,0
324,2nd,female,28,1
325,2nd,male,18,0
326,2nd,male,,0
327,2nd,male,34,0
328,2nd,female,32,1
329,2nd,male,57,0
330,2nd,male,18,0
331,2nd,male,23,0
332,2nd,female,36,1
333,2nd,male,28,0
334,2nd,male,51,0
335,2nd,male,32,1
336,2nd,female,19,1
337,2nd,male,28,0
338,2nd,female,36,1
339,2nd,female,4,1
340,2nd,male,1,1
341,2nd,female,12,1
342,2nd,male,34,1
343,2nd,female,19,1
344,2nd,male,23,0
345,2nd,male,26,0
346,2nd,male,,0
347,2nd,male,27,0
348,2nd,female,15,1
349,2nd,male,45,0
350,2nd,female,40,1
351,2nd,female,20,1
352,2nd,male,25,0
353,2nd,female,36,1
354,2nd,male,25,0
355,2nd,male,,0
356,2nd,female,42,1
357,2nd,male,26,1
358,2nd,female,26,1
359,2nd,male,0.83,1
360,2nd,female,31,1
361,2nd,male,,0
362,2nd,male,19,0
363,2nd,male,54,0
364,2nd,female,44,0
365,2nd,male,52,0
366,2nd,male,30,0
367,2nd,female,30,0
368,2nd,female,,1
369,2nd,female,,1
370,2nd,male,29,0
371,2nd,female,,1
372,2nd,male,29,0
373,2nd,male,27,0
374,2nd,male,24,1
375,2nd,male,35,0
376,2nd,female,31,1
377,2nd,female,8,1
378,2nd,female,22,0
379,2nd,female,30,0
380,2nd,female,,0
381,2nd,male,20,0
382,2nd,male,,0
383,2nd,male,21,0
384,2nd,female,49,1
385,2nd,male,8,1
386,2nd,female,28,1
387,2nd,male,18,0
388,2nd,male,,0
389,2nd,male,28,0
390,2nd,female,22,1
391,2nd,male,25,0
392,2nd,male,18,0
393,2nd,female,32,1
394,2nd,female,18,1
395,2nd,male,,0
396,2nd,male,42,0
397,2nd,female,34,1
398,2nd,male,8,1
399,2nd,female,,1
400,2nd,female,,1
401,2nd,male,23,0
402,2nd,male,21,0
403,2nd,male,19,0
404,2nd,male,,0
405,2nd,female,,1
406,2nd,male,,0
407,2nd,male,38,0
408,2nd,male,,0
409,2nd,female,38,0
410,2nd,male,35,0
411,2nd,male,35,0
412,2nd,male,38,0
413,2nd,female,24,1
414,2nd,male,16,0
415,2nd,male,26,0
416,2nd,male,45,0
417,2nd,male,24,0
418,2nd,male,21,0
419,2nd,male,22,0
420,2nd,male,,0
421,2nd,male,34,0
422,2nd,male,30,0
423,2nd,male,50,0
424,2nd,male,30,0
425,2nd,female,23,1
426,2nd,male,1,1
427,2nd,male,44,0
428,2nd,male,28,0
429,2nd,female,6,1
430,2nd,male,30,1
431,2nd,male,,0
432,2nd,male,43,0
433,2nd,female,45,1
434,2nd,female,7,1
435,2nd,female,24,1
436,2nd,female,24,1
437,2nd,male,49,0
438,2nd,female,48,1
439,2nd,female,,1
440,2nd,male,34,0
441,2nd,male,32,0
442,2nd,male,21,0
443,2nd,female,18,0
444,2nd,female,53,1
445,2nd,male,23,0
446,2nd,female,21,1
447,2nd,male,,0
448,2nd,male,52,0
449,2nd,male,42,0
450,2nd,female,36,1
451,2nd,male,21,0
452,2nd,male,41,1
453,2nd,male,,0
454,2nd,female,,0
455,2nd,male,33,0
456,2nd,female,17,1
457,*,male,,0
458,2nd,female,,1
459,2nd,male,,0
460,2nd,male,,0
461,2nd,male,,0
462,2nd,male,,0
463,2nd,female,23,1
464,2nd,male,34,0
465,2nd,female,,1
466,2nd,female,22,0
467,2nd,male,,0
468,2nd,female,,1
469,2nd,female,45,1
470,2nd,male,,0
471,2nd,male,,0
472,2nd,male,31,0
473,2nd,male,30,0
474,2nd,female,26,0
475,2nd,male,,0
476,2nd,female,34,1
477,2nd,male,26,0
478,2nd,female,22,1
479,2nd,female,1,1
480,2nd,female,3,1
481,2nd,female,,1
482,2nd,female,,1
483,2nd,male,,0
484,2nd,male,25,0
485,2nd,male,,0
486,2nd,male,48,0
487,2nd,female,,1
488,2nd,female,57,0
489,2nd,male,,0
490,2nd,male,,0
491,2nd,female,,1
492,2nd,male,2,1
493,2nd,male,,0
494,2nd,male,27,0
495,2nd,female,19,1
496,2nd,male,30,0
497,2nd,male,20,0
498,2nd,male,45,0
499,2nd,male,,0
500,2nd,male,46,0
501,2nd,female,41,1
502,2nd,female,13,1
503,2nd,male,19,1
504,2nd,male,30,0
505,2nd,male,48,0
506,2nd,male,71,0
507,2nd,male,54,0
508,2nd,male,,0
509,2nd,male,,0
510,2nd,male,64,0
511,2nd,male,32,0
512,2nd,female,18,1
513,2nd,male,2,1
514,2nd,male,32,0
515,2nd,male,3,1
516,2nd,male,26,0
517,2nd,male,19,0
518,2nd,male,,0
519,2nd,male,20,1
520,2nd,female,29,1
521,2nd,male,39,0
522,2nd,male,22,1
523,2nd,male,,1
524,2nd,male,24,0
525,2nd,male,,1
526,2nd,male,28,0
527,2nd,male,,0
528,2nd,female,50,1
529,2nd,male,20,0
530,2nd,male,40,0
531,2nd,female,42,1
532,2nd,male,21,0
533,2nd,female,32,1
534,2nd,male,34,0
535,2nd,male,,1
536,2nd,male,,0
537,2nd,female,33,1
538,2nd,female,2,1
539,2nd,female,8,1
540,2nd,male,36,0
541,2nd,male,34,0
542,2nd,female,30,1
543,2nd,female,28,1
544,2nd,male,23,0
545,2nd,male,0.8,1
546,2nd,female,25,1
547,2nd,male,3,1
548,2nd,female,50,1
549,2nd,male,,0
550,2nd,female,21,1
551,2nd,male,,0
552,2nd,male,,0
553,2nd,female,25,1
554,2nd,female,18,1
555,2nd,female,20,1
556,2nd,female,30,1
557,2nd,male,59,0
558,2nd,female,30,1
559,2nd,male,35,0
560,2nd,male,22,0
561,2nd,female,,1
562,2nd,male,25,0
563,2nd,male,41,0
564,2nd,male,25,0
565,2nd,male,14,0
566,2nd,female,50,1
567,2nd,male,22,0
568,2nd,female,,1
569,2nd,female,27,1
570,2nd,male,29,0
571,2nd,female,27,0
572,2nd,male,30,0
573,2nd,male,22,0
574,2nd,female,35,1
575,2nd,male,30,0
576,2nd,female,28,1
577,2nd,male,23,0
578,2nd,male,,0
579,2nd,female,12,1
580,2nd,female,40,1
581,2nd,female,36,1
582,2nd,male,28,0
583,2nd,female,32,1
584,2nd,female,29,1
585,2nd,female,4,1
586,2nd,male,2,1
587,2nd,female,,1
588,2nd,female,,1
589,2nd,male,36,0
590,2nd,female,33,1
591,2nd,male,,0
592,2nd,male,,0
593,2nd,male,,0
594,2nd,male,32,1
595,2nd,female,,1
596,2nd,male,,1
597,2nd,female,26,1
598,2nd,female,,0
599,2nd,male,30,0
600,2nd,female,24,1
601,2nd,male,,0
602,2nd,male,18,0
603,3rd,male,42,0
604,3rd,male,13,0
605,3rd,male,16,0
606,3rd,female,35,1
607,3rd,female,16,1
608,3rd,male,25,1
609,3rd,female,18,1
610,3rd,male,20,1
611,3rd,male,30,0
612,3rd,male,26,0
613,3rd,female,40,0
614,3rd,male,24,0
615,3rd,male,41,0
616,3rd,female,18,1
617,3rd,male,0.83,1
618,3rd,male,23,0
619,3rd,male,20,0
620,3rd,male,25,0
621,3rd,male,35,0
622,3rd,male,17,0
623,3rd,male,32,0
624,3rd,male,20,0
625,3rd,male,39,0
626,3rd,female,39,0
627,3rd,female,6,0
628,3rd,female,2,0
629,3rd,female,17,1
630,3rd,female,38,0
631,3rd,female,9,0
632,3rd,male,26,0
633,3rd,female,11,0
634,3rd,male,4,0
635,3rd,male,20,0
636,3rd,male,26,0
637,3rd,male,25,0
638,3rd,female,18,0
639,3rd,male,24,0
640,3rd,male,35,0
641,3rd,male,40,0
642,3rd,female,38,1
643,3rd,male,5,0
644,3rd,male,9,0
645,3rd,male,3,1
646,3rd,male,13,0
647,3rd,male,23,1
648,3rd,female,5,1
649,3rd,male,,0
650,3rd,female,45,1
651,3rd,male,23,0
652,3rd,female,17,0
653,3rd,male,27,0
654,3rd,male,23,0
655,3rd,male,20,0
656,3rd,male,32,0
657,3rd,female,33,1
658,3rd,female,3,1
659,3rd,female,,1
660,3rd,female,,1
661,3rd,female,,1
662,3rd,female,18,1
663,3rd,male,40,0
664,3rd,male,26,0
665,3rd,female,15,1
666,3rd,female,45,0
667,3rd,female,18,0
668,3rd,female,27,0
669,3rd,male,22,0
670,3rd,male,19,0
671,3rd,male,26,0
672,3rd,male,22,0
673,3rd,male,20,0
674,3rd,male,32,1
675,3rd,male,21,0
676,3rd,male,18,0
677,3rd,male,26,0
678,3rd,male,6,0
679,3rd,male,,0
680,3rd,female,,0
681,3rd,female,9,0
682,3rd,male,40,0
683,3rd,female,32,0
684,3rd,female,,0
685,3rd,male,26,0
686,3rd,female,18,1
687,3rd,female,20,0
688,3rd,male,,0
689,3rd,male,29,0
690,3rd,male,22,0
691,3rd,male,22,0
692,3rd,male,35,0
693,3rd,male,21,1
694,3rd,female,20,0
695,3rd,male,19,0
696,3rd,female,18,0
697,3rd,male,18,0
698,3rd,male,38,0
699,3rd,male,,0
700,3rd,male,30,0
701,3rd,male,17,0
702,3rd,female,21,0
703,3rd,male,21,0
704,3rd,male,21,0
705,3rd,male,,0
706,3rd,female,,0
707,3rd,male,24,0
708,3rd,male,33,0
709,3rd,male,33,0
710,3rd,male,28,0
711,3rd,female,16,1
712,3rd,female,37,0
713,3rd,male,28,0
714,3rd,male,,1
715,3rd,male,24,0
716,3rd,male,21,0
717,3rd,male,,0
718,3rd,male,32,0
719,3rd,male,29,0
720,3rd,male,26,0
721,3rd,male,18,0
722,3rd,male,20,0
723,3rd,male,19,1
724,3rd,male,24,0
725,3rd,male,24,0
726,3rd,male,36,0
727,3rd,male,31,0
728,3rd,male,31,0
729,3rd,female,30,0
730,3rd,female,22,1
731,3rd,male,,0
732,3rd,male,43,0
733,3rd,male,35,0
734,3rd,male,27,0
735,3rd,male,19,0
736,3rd,male,30,0
737,3rd,female,36,1
738,3rd,male,3,1
739,3rd,male,9,1
740,3rd,male,59,0
741,3rd,male,19,0
742,3rd,male,44,0
743,3rd,female,17,1
744,3rd,male,,0
745,3rd,male,45,1
746,3rd,female,22,0
747,3rd,male,19,0
748,3rd,male,29,1
749,3rd,female,30,1
750,3rd,male,34,0
751,3rd,female,28,0
752,3rd,male,0.33,0
753,3rd,male,27,0
754,3rd,male,25,0
755,3rd,male,24,0
756,3rd,male,22,0
757,3rd,male,21,0
758,3rd,male,17,0
759,3rd,male,,0
760,3rd,female,,1
761,3rd,male,26,0
762,3rd,female,33,1
763,3rd,male,1,1
764,3rd,female,0.17,1
765,3rd,male,25,0
766,3rd,male,36,1
767,3rd,female,36,1
768,3rd,male,30,1
769,3rd,male,,0
770,3rd,male,23,0
771,3rd,male,26,0
772,3rd,female,19,1
773,3rd,male,65,0
774,3rd,male,,0
775,3rd,male,42,0
776,3rd,male,43,0
777,3rd,male,32,0
778,3rd,male,19,1
779,3rd,female,30,1
780,3rd,female,24,0
781,3rd,female,23,1
782,3rd,male,,0
783,3rd,female,24,1
784,3rd,male,24,1
785,3rd,male,23,0
786,3rd,female,22,1
787,3rd,male,,0
788,3rd,male,18,0
789,3rd,male,16,0
790,3rd,male,45,0
791,3rd,male,,0
792,3rd,male,,0
793,3rd,male,,0
794,3rd,male,47,0
795,3rd,female,5,1
796,3rd,male,,0
797,3rd,male,,0
798,3rd,male,,0
799,3rd,male,,1
800,3rd,male,,0
801,3rd,male,,0
802,3rd,male,,0
803,3rd,male,,0
804,3rd,male,,0
805,3rd,male,,1
806,3rd,male,,0
807,3rd,female,21,0
808,3rd,male,18,0
809,3rd,female,9,0
810,3rd,female,48,0
811,3rd,male,16,0
812,3rd,male,,0
813,3rd,male,,0
814,3rd,male,25,0
815,3rd,male,,0
816,3rd,female,38,1
817,3rd,male,22,0
818,3rd,female,16,1
819,3rd,female,,1
820,3rd,male,33,0
821,3rd,female,,1
822,3rd,male,9,1
823,3rd,male,41,0
824,3rd,male,38,0
825,3rd,male,40,0
826,3rd,female,43,0
827,3rd,male,14,0
828,3rd,female,16,0
829,3rd,male,9,0
830,3rd,female,10,0
831,3rd,male,6,0
832,3rd,male,11,0
833,3rd,male,40,0
834,3rd,male,32,0
835,3rd,male,,0
836,3rd,male,20,0
837,3rd,male,37,0
838,3rd,male,28,0
839,3rd,male,19,0
840,3rd,female,24,0
841,3rd,female,17,0
842,3rd,male,,0
843,3rd,male,,0
844,3rd,male,28,0
845,3rd,female,24,1
846,3rd,male,20,0
847,3rd,male,41,0
848,3rd,female,45,1
849,3rd,male,26,0
850,3rd,male,21,0
851,3rd,female,,0
852,3rd,male,,0
853,3rd,male,,0
854,3rd,male,,0
855,3rd,female,,0
856,3rd,male,27,1
857,3rd,male,,0
858,3rd,female,18,0
859,3rd,female,26,1
860,3rd,female,23,0
861,3rd,female,22,1
862,3rd,female,,0
863,3rd,male,,0
864,3rd,female,,0
865,3rd,female,28,0
866,3rd,female,22,1
867,3rd,female,2,0
868,3rd,male,43,0
869,3rd,male,,0
870,3rd,female,27,1
871,3rd,male,,0
872,3rd,female,,1
873,3rd,male,42,0
874,3rd,male,,1
875,3rd,male,,0
876,3rd,female,27,0
877,3rd,female,25,0
878,3rd,male,,0
879,3rd,male,27,1
880,3rd,male,,0
881,3rd,female,19,1
882,3rd,male,20,0
883,3rd,male,48,0
884,3rd,male,17,0
885,3rd,female,,1
886,3rd,male,,0
887,3rd,male,34,0
888,3rd,male,22,0
889,3rd,male,33,0
890,3rd,male,32,1
891,3rd,male,29,0
892,3rd,male,26,1
893,3rd,male,49,0
894,3rd,female,1,1
895,3rd,male,33,0
896,3rd,male,4,1
897,3rd,female,24,0
898,3rd,male,19,0
899,3rd,male,,0
900,3rd,female,,0
901,3rd,female,,0
902,3rd,male,,0
903,3rd,male,,0
904,3rd,male,32,1
905,3rd,male,27,0
906,3rd,female,21,0
907,3rd,male,32,1
908,3rd,female,20,0
909,3rd,male,17,0
910,3rd,male,21,0
911,3rd,male,30,0
912,3rd,male,21,1
913,3rd,male,23,0
914,3rd,male,22,0
915,3rd,female,4,1
916,3rd,male,39,0
917,3rd,male,,0
918,3rd,male,20,0
919,3rd,male,,0
920,3rd,male,,0
921,3rd,female,21,1
922,3rd,male,44,0
923,3rd,male,42,0
924,3rd,female,21,1
925,3rd,male,24,0
926,3rd,male,,0
927,3rd,female,,0
928,3rd,male,,0
929,3rd,male,25,0
930,3rd,male,22,0
931,3rd,male,22,0
932,3rd,male,39,1
933,3rd,female,26,0
934,3rd,female,4,1
935,3rd,female,22,0
936,3rd,male,26,0
937,3rd,female,1.5,0
938,3rd,female,36,0
939,3rd,male,18,0
940,3rd,male,,0
941,3rd,male,25,1
942,3rd,male,,0
943,3rd,female,37,0
944,3rd,male,,0
945,3rd,male,,1
946,3rd,male,,0
947,3rd,female,22,1
948,3rd,male,20,0
949,3rd,male,26,1
950,3rd,male,29,0
951,3rd,male,29,0
952,3rd,male,22,0
953,3rd,male,,1
954,3rd,female,,0
955,3rd,male,,0
956,3rd,female,,0
957,3rd,female,,0
958,3rd,female,,0
959,3rd,male,32,0
960,3rd,male,,0
961,3rd,male,21,0
962,3rd,female,21,0
963,3rd,male,36,0
964,3rd,male,39,0
965,3rd,female,25,0
966,3rd,female,45,0
967,3rd,male,36,0
968,3rd,female,30,0
969,3rd,male,20,1
970,3rd,male,,0
971,3rd,male,,0
972,3rd,male,,0
973,3rd,male,,0
974,3rd,female,,0
975,3rd,male,,0
976,3rd,male,,0
977,3rd,male,,1
978,3rd,male,,0
979,3rd,female,,1
980,3rd,male,,0
981,3rd,male,,0
982,3rd,male,,0
983,3rd,female,,1
984,3rd,male,,0
985,3rd,male,,0
986,3rd,female,,0
987,3rd,male,,0
988,3rd,male,,0
989,3rd,male,,1
990,3rd,female,,0
991,3rd,female,,1
992,3rd,male,,0
993,3rd,male,,0
994,3rd,male,,0
995,3rd,male,,0
996,3rd,male,,0
997,3rd,female,,1
998,3rd,male,,0
999,3rd,female,,1
1000,3rd,male,,0
1001,3rd,female,,0
1002,3rd,female,,0
1003,3rd,male,,0
1004,3rd,female,,0
1005,3rd,male,,0
1006,3rd,female,,1
1007,3rd,female,,0
1008,3rd,female,,0
1009,3rd,male,,0
1010,3rd,male,,0
1011,3rd,female,,0
1012,3rd,female,,0
1013,3rd,male,,0
1014,3rd,female,,0
1015,3rd,female,23,0
1016,3rd,male,,0
1017,3rd,male,,1
1018,3rd,male,,0
1019,3rd,male,,0
1020,3rd,male,,0
1021,3rd,male,,0
1022,3rd,male,,0
1023,3rd,male,,0
1024,3rd,female,,1
1025,3rd,male,,0
1026,3rd,female,,1
1027,3rd,male,,0
1028,3rd,male,,0
1029,3rd,female,,1
1030,3rd,male,,0
1031,3rd,male,,0
1032,3rd,male,,0
1033,3rd,male,,0
1034,3rd,male,,1
1035,3rd,female,,0
1036,3rd,male,,0
1037,3rd,male,,0
1038,3rd,male,,0
1039,3rd,female,,0
1040,3rd,male,,0
1041,3rd,female,,1
1042,3rd,female,,0
1043,3rd,male,,0
1044,3rd,female,,0
1045,3rd,female,,0
1046,3rd,female,,0
1047,3rd,male,,0
1048,3rd,female,,1
1049,3rd,male,,0
1050,3rd,female,,0
1051,3rd,male,,0
1052,3rd,male,,0
1053,3rd,male,,0
1054,3rd,male,,0
1055,3rd,male,,0
1056,3rd,female,,1
1057,3rd,male,,0
1058,3rd,male,,0
1059,3rd,male,,0
1060,3rd,male,,0
1061,3rd,female,,0
1062,3rd,male,,0
1063,3rd,male,,0
1064,3rd,female,,1
1065,3rd,male,,0
1066,3rd,female,,0
1067,3rd,male,,0
1068,3rd,male,,0
1069,3rd,female,,1
1070,3rd,female,,0
1071,3rd,male,,0
1072,3rd,male,,0
1073,3rd,male,,1
1074,3rd,female,,0
1075,3rd,male,,0
1076,3rd,male,,0
1077,3rd,male,,0
1078,3rd,female,,1
1079,3rd,male,,0
1080,3rd,male,,0
1081,3rd,male,,0
1082,3rd,male,,1
1083,3rd,female,,0
1084,3rd,female,,0
1085,3rd,male,,0
1086,3rd,female,,0
1087,3rd,male,,0
1088,3rd,male,,0
1089,3rd,male,,0
1090,3rd,male,,0
1091,3rd,female,,0
1092,3rd,male,,0
1093,3rd,male,,1
1094,3rd,female,,0
1095,3rd,male,,0
1096,3rd,male,,0
1097,3rd,male,,0
1098,3rd,male,,0
1099,3rd,female,,1
1100,3rd,female,,0
1101,3rd,male,,0
1102,3rd,male,,0
1103,3rd,male,,0
1104,3rd,female,,0
1105,3rd,male,,0
1106,3rd,male,,0
1107,3rd,male,,0
1108,3rd,male,,0
1109,3rd,male,,0
1110,3rd,female,,0
1111,3rd,male,,0
1112,3rd,female,,0
1113,3rd,female,,0
1114,3rd,male,,0
1115,3rd,male,,0
1116,3rd,female,,0
1117,3rd,female,,0
1118,3rd,male,,0
1119,3rd,male,,0
1120,3rd,male,,0
1121,3rd,male,,0
1122,3rd,male,,0
1123,3rd,male,,1
1124,3rd,male,,0
1125,3rd,male,,0
1126,3rd,male,,1
1127,3rd,female,,0
1128,3rd,female,,0
1129,3rd,male,,0
1130,3rd,female,,0
1131,3rd,male,,0
1132,3rd,female,,0
1133,3rd,male,,0
1134,3rd,male,,0
1135,3rd,female,,0
1136,3rd,male,,0
1137,3rd,male,,1
1138,3rd,male,,0
1139,3rd,male,,0
1140,3rd,male,,0
1141,3rd,male,,0
1142,3rd,male,,0
1143,3rd,male,,0
1144,3rd,male,,0
1145,3rd,male,,0
1146,3rd,male,,0
1147,3rd,male,,0
1148,3rd,male,,0
1149,3rd,female,,0
1150,3rd,female,,0
1151,3rd,male,,0
1152,3rd,female,,1
1153,3rd,male,,0
1154,3rd,female,,0
1155,3rd,male,,0
1156,3rd,female,,0
1157,3rd,male,,0
1158,3rd,male,,0
1159,3rd,female,,0
1160,3rd,female,,0
1161,3rd,male,,0
1162,3rd,female,,1
1163,3rd,male,,0
1164,3rd,male,,0
1165,3rd,male,,1
1166,3rd,male,,0
1167,3rd,male,,0
1168,3rd,male,,1
1169,3rd,male,,0
1170,3rd,male,,0
1171,3rd,female,,0
1172,3rd,female,,0
1173,3rd,female,,0
1174,3rd,male,,0
1175,3rd,male,,0
1176,3rd,male,,0
1177,3rd,male,,0
1178,3rd,female,,0
1179,3rd,female,,0
1180,3rd,male,,0
1181,3rd,male,,0
1182,3rd,male,21,0
1183,3rd,female,,1
1184,3rd,male,,0
1185,3rd,male,,0
1186,3rd,male,,0
1187,3rd,male,,0
1188,3rd,female,,1
1189,3rd,female,1.5,0
1190,3rd,female,,0
1191,3rd,male,,0
1192,3rd,male,,0
1193,3rd,male,,0
1194,3rd,male,,0
1195,3rd,male,,0
1196,3rd,male,,0
1197,3rd,male,,0
1198,3rd,male,,0
1199,3rd,male,,0
1200,3rd,male,,1
1201,3rd,male,,0
1202,3rd,female,,1
1203,3rd,male,,0
1204,3rd,male,,0
1205,3rd,male,,0
1206,3rd,male,,0
1207,3rd,male,,0
1208,3rd,female,,1
1209,3rd,male,,0
1210,3rd,male,,0
1211,3rd,male,,0
1212,3rd,male,,0
